date,z1_mixed,z2_rates,z3_inflation,z1_mixed_s,z2_rates_s,z3_inflation_s,hmm_state,regime,regime_gate,composite_score
2006-05-09,0.2150387101525167,-0.046781443714452066,-1.4245381585959922,1.4286276577493606,0.35463846330082427,-0.5750815575787298,1,Bear,0.0,
2006-05-10,1.1258096153380917,0.034173646441433295,-1.7554187005039061,1.549986552509045,0.3947804540023519,-0.4901358974770036,1,Bear,0.0,
2006-05-11,4.490821292678759,2.3617343060530684,-1.3422515149752985,1.692554294127277,0.4529527850819255,-0.3419260972239322,1,Bear,0.0,
2006-05-12,3.9316343178792033,3.0064267747562976,0.733966091364319,1.695208685817935,0.41568604011294197,-0.1437000260832927,1,Bear,0.0,
2006-05-15,-0.22877996163858125,-1.0289464920347453,3.532051779955807,1.5860417959055293,0.24888225841179074,0.010642739184966263,1,Bear,0.0,
2006-05-16,1.0412107730862283,-2.349866550153969,-0.6815890943069812,1.5676159938703291,0.14596991423296615,-0.011084947585316751,1,Bear,0.0,
2006-05-17,5.421355988027088,3.1648467082204954,0.12814454625299626,1.575510452874334,0.16784939327348836,0.0007125729804834599,1,Bear,0.0,
2006-05-18,2.9662280614132963,-2.9350431238154697,-0.4959161345803553,1.3911126351207013,0.03987900656666027,0.006138494882658038,1,Bear,0.0,
2006-05-19,-1.0891627260607013,0.09636269450505211,1.3772260078820118,1.127959046052439,0.060654726378938636,0.036667148257983284,1,Bear,0.0,
2006-05-22,1.9419260332653212,0.02498965000026384,-0.5622211921915987,0.9756615455898338,0.07964504778491133,0.00016785865210710432,1,Bear,0.0,
2006-05-23,1.9002356748774138,0.7344735943435764,-1.7172162041634877,0.7750508207434541,0.1013681390801164,-0.008211978411583776,1,Bear,0.0,
2006-05-24,-0.8398093031717104,-0.6538040985610519,2.568395419072914,0.5181808531903765,0.09143595761214847,0.06885839581232048,1,Bear,0.0,
2006-05-25,-4.0491273325779,0.35218412332123467,-1.1063414319290563,0.3292103934554032,0.11876577895284057,0.0209519188731951,1,Bear,0.0,
2006-05-26,-1.3412154960767777,-0.3622914500427997,0.14047569944669466,0.35915682002209504,0.13442468307511296,0.029410109474182277,1,Bear,0.0,
2006-05-30,5.088136676630051,2.087938387257003,-1.216698459216304,0.47412186239373055,0.17491939385328098,0.03231502057654384,1,Bear,0.0,
2006-05-31,-2.642950461317718,1.5831418310510663,0.4863561427589697,0.35838616405355006,0.11976315496126289,0.0976706056685478,1,Bear,0.0,
2006-06-01,-3.0443443095433227,-1.7289827256987145,2.1160737634921336,0.3927172969819329,-0.008562017735245286,0.14359191390603063,1,Bear,0.0,
2006-06-02,0.23954774155922998,-3.7635511716787082,-1.8984774114216552,0.5989015102365786,-0.05086615503358005,0.09088912966420834,1,Bear,0.0,
2006-06-05,5.150159081388902,2.280868012409045,-0.2650995531583299,0.8230534119250917,0.09246395850034148,0.13765467247667917,1,Bear,0.0,
2006-06-06,0.6240252451442385,-0.7854741198847711,0.315215588721011,0.8308500301404143,0.1263738693388279,0.20455792657090052,1,Bear,0.0,
2006-06-07,2.040924865410826,1.0637536307747948,1.580390648293492,0.8489878876055457,0.2058761796384943,0.26592829755761627,1,Bear,0.0,
2006-06-08,0.088830102407426,-0.6591486975088634,0.3588816885955138,0.807528896180413,0.24248461738134566,0.26157555100753827,1,Bear,0.0,
