ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
AMLX,21.53,WATCH,43.06,43.06,84.7457627118644,27.055788818357108,85.71,43.06,85.71,43.06,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AMPH,0.0,AVOID,0.0,0.0,52.54237288135594,-49.73756586789292,51.79,0.0,51.79,0.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AMRN,13.825,AVOID,27.65,27.65,6.779661016949152,1.0953416282103916,3.57,27.65,3.57,27.65,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AMRX,19.615,WATCH,39.23,39.23,69.49152542372882,20.610317019176343,69.64,39.23,69.64,39.23,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ANAB,13.185,AVOID,26.37,26.37,44.06779661016949,-1.064108183067475,42.86,26.37,42.86,26.37,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ANIP,14.325,AVOID,28.65,28.65,11.864406779661016,2.7715546697817928,8.93,28.65,8.93,28.65,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ANL,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ANNX,21.435,WATCH,42.87,42.87,35.59322033898305,26.744091181930948,33.93,42.87,33.93,42.87,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ANRO,22.05,WATCH,44.1,44.1,57.6271186440678,28.80143645652514,57.14,44.1,57.14,44.1,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
APGE,30.665,BUY,61.33,61.33,91.52542372881356,57.83056080768452,92.86,61.33,92.86,61.33,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
APLS,20.915,WATCH,41.83,41.83,47.45762711864407,24.980722835530408,46.43,41.83,46.43,41.83,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
AQST,23.64,WATCH,47.28,47.28,44.06779661016949,34.17442283777136,42.86,47.28,42.86,47.28,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARCT,26.365,WATCH,52.73,52.73,72.88135593220339,43.34512750479208,73.21,52.73,73.21,52.73,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARDX,6.175,AVOID,12.35,12.35,28.8135593220339,-24.6867940037179,26.79,12.35,26.79,12.35,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARGX,15.54,WATCH,31.08,31.08,61.01694915254237,6.87856094661521,60.71,31.08,60.71,31.08,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARQT,11.95,AVOID,23.9,23.9,57.6271186440678,-5.219098369454549,57.14,23.9,57.14,23.9,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARVN,19.58,WATCH,39.16,39.16,81.35593220338984,20.486787361939072,82.14,39.16,82.14,39.16,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ARWR,27.615,WATCH,55.23,55.23,93.22033898305084,47.567865964521125,94.64,55.23,94.64,55.23,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
