ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
XERS,5.57,5.45,2.2018,,,,,,2026-03-23
XFOR,4.16,4.29,-3.0303,,,,,,2026-03-23
XNCR,12.335,12.13,1.69,,,,,,2026-03-23
XOMA,29.74,28.87,3.0135,,,,,,2026-03-23
ZBIO,20.335,22.12,-8.0696,,,,,,2026-03-23
ZLAB,17.92,18.075,-0.8575,,,,,,2026-03-23
ZNTL,2.55,2.61,-2.2989,,,,,,2026-03-23
ZTS,116.625,115.65,0.8431,,,,,,2026-03-23
ZURA,5.67,5.475,3.5616,,,,,,2026-03-23
ZVRA,9.28,9.24,0.4329,,,,,,2026-03-23
ZYME,24.04,23.32,3.0875,,,,,,2026-03-23
